Country Name,Country Code,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,16437.42,16817.24,18521.37,21839.26,25991.21,30767.75,32337.27,37427.54,27497.55,34609.71,46139.11,46844.2,43950.05,41035.78,30681.43,26762.04,28186.99,31240.5,30748.31,27179.35,31448.91,37152.48,33430.92
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,822.42,903.56,1027.27,1131.32,1297.09,1400.47,1842.34,1910.17,1908.25,2371.97,2717.45,2689.79,2624.77,2793.93,2899.23,3097.96,3427.17,3389.78,3564.6,3181.34,3561.23,3704.02,
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,3115.68,3029.79,4111.74,4818.21,5240.32,5142.91,5372.34,5345.85,4938.25,6041.73,7080.78,6392.99,6436.6,6844.03,5869.74,6411.55,6705.34,6947.82,6691.16,5875.07,7244.16,7726.11,7249.8
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,242.58,253.41,283.68,309.19,317.88,340.41,388.48,446.23,452.92,459.78,515.21,525.87,352.23,394.86,351.88,372.14,414.74,435.93,426.41,435.47,461.14,427.06,445.03
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,23822.1,24256.02,28301.86,32145.54,36383.66,40504.04,44660.08,46710.25,40874.88,47560.67,52223.86,52670.34,52638.12,50960.84,43594.19,42314.06,45129.63,46539.18,46352.87,43537.84,52496.84,55509.39,53371.7
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,4352.72,4937.13,5949.81,7176.51,8355.87,9469.73,12009.69,14578.01,12307.71,12608.02,13964.44,13075.95,13667.98,14143.74,12528.08,12785.39,14225.88,16081.91,16355.86,16302.75,18816.13,19414.74,22494.48
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,39638.79,42458.74,49335.75,54659.46,56242.89,59011.03,64989.16,74175.19,71568.31,76531.37,90476.76,85836.21,87304.33,88724.99,83806.45,82153.07,82254.38,85217.37,84121.93,85897.78,93446.43,93259.91,99994.94
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,42678.28,45279.64,49428.31,57200.47,58550.66,63665.32,75148.35,,,,,,,,,55411.7,54904.1,59433.37,58564.35,54357.93,64502.53,64501.27,
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,4610.59,4477.19,4823.26,6185.3,7560.54,9418.27,10456.83,10797.05,10204.56,12764.59,14637.76,15397.78,15842.16,14675.15,13567.36,13788.24,15034.06,15820.03,14616.21,13162.59,16185.91,15411.17,17093.24
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1053.11,1148.51,1288.64,1508.67,1753.41,2099.22,2693.96,3468.33,3832.23,4550.47,5614.39,6300.58,7020.39,7636.07,8016.45,8094.39,8817.05,9905.41,10143.86,10408.72,12617.51,12662.58,12614.06
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,974.78,1020.95,1173.06,1267.76,1267.09,1303.56,1451.23,1683.34,1638.8,1654.18,1701.7,1649.3,1903.05,2124.02,1941.58,1999.2,2113.34,2295.54,2309.31,2350.75,2649.17,2491.9,2728.8
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,706.98,780.27,976.52,1119.98,1129.36,1177.97,1311,1476.01,1445.86,1383.81,1497.93,1433.72,1559.14,1631.71,1399.68,1426.07,1479.86,1593.33,1538.56,1539.13,1654.26,1563.49,1673.65
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,148.45,168.94,167.98,187.86,211.57,247.54,277.61,317.89,290.16,324.83,376.37,412.78,444.86,472.27,482.06,456.03,451.09,546.21,575.88,524.67,576.97,664.59,649.14
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,859.44,910.87,1023.09,1314.41,1810.59,2116.87,2219.91,2848.65,2283.95,2962.76,3415.06,3753.86,3719.65,3623.83,2455.34,2107.52,2227.73,2715.26,2508.94,2011.28,2540.47,2649.23,2508.82
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,2465.01,2421.16,2305.17,2811.46,3448.54,3782.6,4762.08,5534.69,5245.95,6392.76,7392.94,8096.8,8263.64,8167.47,6228.65,5936.26,6449.97,6782.04,6436.51,5308.16,6182.96,6657.09,6979.73
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,691.04,761.95,959.23,1090.43,1103.2,1155.09,1289.79,1454.65,1409.11,1384.06,1526.83,1483.95,1595.99,1608.69,1322.94,1357.27,1414.59,1531.34,1510.8,1519.59,1577.47,1484.89,1587.16
